"11 hours, 12 minutes ago",Plus One,Accepted,38 ms,python3
"12 hours, 34 minutes ago",Task Scheduler,Accepted,535 ms,python3
"13 hours, 48 minutes ago",Find Median from Data Stream,Accepted,464 ms,python3
"13 hours, 49 minutes ago",Find Median from Data Stream,Accepted,451 ms,python3
"13 hours, 49 minutes ago",Find Median from Data Stream,Accepted,470 ms,python3
"13 hours, 49 minutes ago",Find Median from Data Stream,Output Limit Exceeded,N/A,python3
"13 hours, 49 minutes ago",Find Median from Data Stream,Runtime Error,N/A,python3
"14 hours, 19 minutes ago",Furthest Building You Can Reach,Accepted,461 ms,python3
"14 hours, 20 minutes ago",Furthest Building You Can Reach,Runtime Error,N/A,python3
"14 hours, 20 minutes ago",Furthest Building You Can Reach,Runtime Error,N/A,python3
"14 hours, 25 minutes ago",Furthest Building You Can Reach,Wrong Answer,N/A,python3
"14 hours, 44 minutes ago",Minimum Cost to Connect Sticks,Accepted,258 ms,python3
"14 hours, 54 minutes ago",K Closest Points to Origin,Accepted,727 ms,python3
"15 hours, 1 minute ago",Meeting Rooms II,Accepted,80 ms,python3
"15 hours, 4 minutes ago",Meeting Rooms II,Wrong Answer,N/A,python3
"15 hours, 5 minutes ago",Kth Smallest Element in a Sorted Matrix,Accepted,170 ms,python3
"15 hours, 5 minutes ago",Kth Smallest Element in a Sorted Matrix,Output Limit Exceeded,N/A,python3
"15 hours, 5 minutes ago",Kth Smallest Element in a Sorted Matrix,Output Limit Exceeded,N/A,python3
"15 hours, 5 minutes ago",The K Weakest Rows in a Matrix,Accepted,91 ms,python3
"15 hours, 5 minutes ago",Last Stone Weight,Accepted,45 ms,python3
"15 hours, 5 minutes ago",Kth Largest Element in a Stream,Accepted,82 ms,python3
"15 hours, 6 minutes ago",Count Number of Homogenous Substrings,Accepted,168 ms,python3
"15 hours, 8 minutes ago",Count Number of Homogenous Substrings,Accepted,126 ms,python3
"15 hours, 8 minutes ago",Count Number of Homogenous Substrings,Accepted,151 ms,python3
"15 hours, 9 minutes ago",Count Number of Homogenous Substrings,Time Limit Exceeded,N/A,python3
"15 hours, 9 minutes ago",Count Number of Homogenous Substrings,Time Limit Exceeded,N/A,python3
"15 hours, 11 minutes ago",Count Number of Homogenous Substrings,Accepted,132 ms,python3
"15 hours, 13 minutes ago",Count Number of Homogenous Substrings,Accepted,119 ms,python3
"15 hours, 23 minutes ago",Kth Smallest Element in a Sorted Matrix,Accepted,167 ms,python3
"15 hours, 29 minutes ago",Kth Smallest Element in a Sorted Matrix,Wrong Answer,N/A,python3
"15 hours, 58 minutes ago",The K Weakest Rows in a Matrix,Accepted,101 ms,python3
"16 hours, 26 minutes ago",The K Weakest Rows in a Matrix,Accepted,114 ms,python3
"16 hours, 32 minutes ago",The K Weakest Rows in a Matrix,Accepted,90 ms,python3
"16 hours, 36 minutes ago",The K Weakest Rows in a Matrix,Accepted,106 ms,python3
"16 hours, 41 minutes ago",Last Stone Weight,Accepted,34 ms,python3
